j行 I列 value_mean
1 54 0.000057517
1 54 0.000057517
1 54 0.000057517
1 54 0.000057517
1 54 0.000057517
1 54 0.000057517
1 54 0.000057517
1 55 5.88163475E-05
1 55 5.88163475E-05
1 55 5.88163475E-05
1 55 5.88163475E-05
1 56 6.25986095714286E-05
1 56 6.25986095714286E-05
1 56 6.25986095714286E-05
1 56 6.25986095714286E-05
1 56 6.25986095714286E-05
1 56 6.25986095714286E-05
1 56 6.25986095714286E-05
1 57 6.726412E-05
1 57 6.726412E-05
1 58 0.000058905
1 58 0.000058905
1 58 0.000058905
1 58 0.000058905
1 58 0.000058905
1 58 0.000058905
1 58 0.000058905
1 59 6.48371721666667E-05
1 59 6.48371721666667E-05
1 59 6.48371721666667E-05
1 59 6.48371721666667E-05
1 59 6.48371721666667E-05
1 59 6.48371721666667E-05
1 60 6.90014808E-05
1 60 6.90014808E-05
1 60 6.90014808E-05
1 60 6.90014808E-05
1 60 6.90014808E-05
1 61 6.97027125E-05
1 61 6.97027125E-05
1 61 6.97027125E-05
1 61 6.97027125E-05
1 62 0.000051798
1 62 0.000051798
1 62 0.000051798
1 62 0.000051798
1 62 0.000051798
1 63 6.73395875E-05
1 63 6.73395875E-05
1 64 5.880348875E-05
1 64 5.880348875E-05
1 64 5.880348875E-05
1 64 5.880348875E-05
1 65 5.13124014285714E-05
1 65 5.13124014285714E-05
1 65 5.13124014285714E-05
1 65 5.13124014285714E-05
1 65 5.13124014285714E-05
1 65 5.13124014285714E-05
1 65 5.13124014285714E-05
1 66 4.4651681E-05
1 66 4.4651681E-05
1 66 4.4651681E-05
1 66 4.4651681E-05
1 66 4.4651681E-05
1 66 4.4651681E-05
1 66 4.4651681E-05
1 67 3.5639685E-05
1 69 4.31426095E-05
1 69 4.31426095E-05
1 69 4.31426095E-05
1 69 4.31426095E-05
1 70 4.71802703333333E-05
1 70 4.71802703333333E-05
1 70 4.71802703333333E-05
1 71 3.62674337142857E-05
1 71 3.62674337142857E-05
1 71 3.62674337142857E-05
1 71 3.62674337142857E-05
1 71 3.62674337142857E-05
